OBJECTID-esriFieldTypeOID,NVCSName-esriFieldTypeString,NVCSLevel-esriFieldTypeString,MapClass-esriFieldTypeString,MapClassID-esriFieldTypeString,Poly_ID-esriFieldTypeInteger,X_Centroid-esriFieldTypeDouble,Y_Centroid-esriFieldTypeDouble,CALVEGName-esriFieldTypeString,CALVEGCode-esriFieldTypeString,CWHRType-esriFieldTypeString,CWHRCode-esriFieldTypeString,GlobalRank-esriFieldTypeString,StateRank-esriFieldTypeString,Rare-esriFieldTypeString,CaCode-esriFieldTypeString,NVCSAlliance-esriFieldTypeString,NVCSGroup-esriFieldTypeString,NVCSMG-esriFieldTypeString,Acres-esriFieldTypeDouble,Hectares-esriFieldTypeDouble
57508,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,57508,341137.48761805,4048310.78808297,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,11.89700148,4.81454568
58047,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,58047,341269.52930144,4048133.71119235,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,5.30907768,2.14850751
58049,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,58049,341326.08366413,4048022.51699175,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,5.95072926,2.40817469
58993,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,58993,343263.56247153,4047198.51337095,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,18.82837982,7.61957498
58996,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,58996,341757.21792223,4047124.86726368,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,10.68367616,4.32353034
59052,Sequoiadendron giganteum,Alliance,Giant Sequoia-White Fir-California Red Fir Forest Association,4023,59052,343479.81078078,4047162.90522208,Mixed Conifer - Fir,MF,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,6.38360661,2.58335394
59518,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,59518,342012.72914557,4046636.83401896,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,5.36650044,2.17174567
59531,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,59531,342655.63455339,4046800.05101957,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,7.93130773,3.20968636
62026,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,62026,353397.02459763,4043889.52730471,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,217.83161361,88.15332645
62494,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,62494,351966.95488513,4043998.86684292,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,2.23537268,0.90462323
62496,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,62496,352484.94049113,4043761.17471065,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,33.53665322,13.57180205
62508,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,62508,348272.4608782,4043659.76480366,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,9.98728369,4.04171031
63007,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,63007,349098.46436168,4043432.11505406,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,3.49800324,1.41559168
63018,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,63018,353149.64804872,4043160.18070895,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,4.2567266,1.72263613
63500,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,63500,348926.59765063,4042551.41370148,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,221.78613197,89.75366325
63507,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,63507,347734.76272864,4042642.41380901,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,98.08583641,39.6939297
63517,Sequoiadendron giganteum-Pinus lambertiana/Cornus nuttallii,Association,Giant Sequoia-Sugar Pine/Pacific Dogwood Forest Association,4021,63517,354593.8697357,4042625.66890129,Mixed Conifer - Giant Sequoia,MB,Sierra Mixed Conifer,SMC,,,Yes,86.200.01,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,27.31963802,11.05586526
64535,Sequoiadendron giganteum,Alliance,Giant Sequoia Forest Alliance,4020,64535,348372.82386142,4041958.08340495,Big Tree (Giant Sequoia),BT,Sierra Mixed Conifer,SMC,G3,S3,Yes,86.200.00,Sequoiadendron giganteum,Californian montane conifer forest,Californian–Vancouverian Montane and Foothill Forest,19.73544426,7.98665093
